food_name,serving_size_g,calories,protein,fat,carbohydrates,sugar,sodium,fiber,calories_from_macro,protein_per_calorie,fat_per_calorie,carbs_per_calorie,calorie_category,is_high_protein,is_high_fiber,is_high_sodium
garam masala,100.0,315.0,14.3,14.0,55.8,2.8,52.0,53.2,406.4,0.0454,0.0444,0.1771,tinggi,0,1,0
garang asem ayam,100.0,165.0,16.5,6.5,8.5,1.5,540.0,1.5,158.5,0.1,0.0394,0.0515,sedang,1,0,0
garang asem ikan,100.0,165.0,17.5,6.5,8.5,1.5,540.0,1.5,162.5,0.1061,0.0394,0.0515,sedang,1,0,0
garut,100.0,65.0,4.2,0.2,13.4,0.3,26.0,1.3,72.2,0.0646,0.0031,0.2062,rendah,0,0,0
genjer,100.0,39.0,4.8,0.8,5.8,1.2,12.0,3.5,49.6,0.1231,0.0205,0.1487,rendah,0,0,0
geplak betawi,100.0,285.0,3.5,8.5,50.5,28.5,35.0,4.5,292.5,0.0123,0.0298,0.1772,sedang,0,0,0
geplak jogja,100.0,285.0,3.5,8.5,50.5,28.5,35.0,4.5,292.5,0.0123,0.0298,0.1772,sedang,0,0,0
geplak yogya,100.0,285.0,3.5,8.5,50.5,28.5,35.0,4.5,292.5,0.0123,0.0298,0.1772,sedang,0,0,0
gerem asem,100.0,165.0,17.5,6.5,8.5,2.5,580.0,1.5,162.5,0.1061,0.0394,0.0515,sedang,1,0,0
getas,100.0,285.0,4.5,7.5,48.5,22.5,95.0,2.0,279.5,0.0158,0.0263,0.1702,sedang,0,0,0
getas bali,100.0,285.0,4.5,7.5,48.5,22.5,95.0,2.0,279.5,0.0158,0.0263,0.1702,sedang,0,0,0
getas bangka,100.0,285.0,4.5,7.5,48.5,22.5,95.0,2.0,279.5,0.0158,0.0263,0.1702,sedang,0,0,0
getas surabaya,100.0,285.0,4.5,7.5,48.5,22.5,95.0,2.0,279.5,0.0158,0.0263,0.1702,sedang,0,0,0
getuk goreng sokaraja,100.0,245.0,1.5,6.5,45.5,18.5,65.0,1.5,246.5,0.0061,0.0265,0.1857,sedang,0,0,0
getuk lindri,100.0,195.0,1.5,2.5,42.5,16.5,45.0,1.5,198.5,0.0077,0.0128,0.2179,sedang,0,0,0
getuk lindri pelangi,100.0,195.0,1.5,2.5,42.5,16.5,45.0,1.5,198.5,0.0077,0.0128,0.2179,sedang,0,0,0
getuk singkong,100.0,175.0,1.5,2.5,37.5,14.5,45.0,1.5,178.5,0.0086,0.0143,0.2143,sedang,0,0,0
gohu ikan,100.0,165.0,18.5,8.5,5.5,1.5,580.0,1.0,172.5,0.1121,0.0515,0.0333,sedang,1,0,0
gonggong batam,100.0,95.0,12.5,1.5,5.5,0.5,280.0,0.5,85.5,0.1316,0.0158,0.0579,rendah,0,0,0
gowok,100.0,55.0,0.7,0.4,13.5,8.5,3.0,2.5,60.4,0.0127,0.0073,0.2455,rendah,0,0,0
gula aren,100.0,368.0,0.0,4.5,95.0,85.0,45.0,0.0,420.5,0.0,0.0122,0.2582,tinggi,0,0,0
gula batu,100.0,396.0,0.0,0.0,100.0,100.0,1.0,0.0,400.0,0.0,0.0,0.2525,tinggi,0,0,0
gula jagung,100.0,386.0,0.2,0.0,98.0,92.0,39.0,0.1,392.8,0.0005,0.0,0.2539,tinggi,0,0,0
gula jawa,100.0,386.0,0.2,0.0,98.0,92.0,39.0,0.1,392.8,0.0005,0.0,0.2539,tinggi,0,0,0
gula kelapa,100.0,386.0,0.2,0.0,98.0,92.0,39.0,0.1,392.8,0.0005,0.0,0.2539,tinggi,0,0,0
gula merah,100.0,386.0,0.2,0.0,98.0,92.0,39.0,0.1,392.8,0.0005,0.0,0.2539,tinggi,0,0,0
gula merah aren,100.0,386.0,0.2,0.0,98.0,92.0,39.0,0.1,392.8,0.0005,0.0,0.2539,tinggi,0,0,0
gula merah jawa,100.0,386.0,0.2,0.0,98.0,92.0,39.0,0.1,392.8,0.0005,0.0,0.2539,tinggi,0,0,0
gula semut,100.0,386.0,0.2,0.0,98.0,92.0,39.0,0.1,392.8,0.0005,0.0,0.2539,tinggi,0,0,0
gula tebu,100.0,387.0,0.0,0.0,99.7,99.7,1.0,0.0,398.8,0.0,0.0,0.2576,tinggi,0,0,0
gulai ayam,100.0,255.0,16.5,16.5,8.0,2.0,540.0,1.4,246.5,0.0647,0.0647,0.0314,sedang,1,0,0
gulai banak,100.0,295.0,14.5,22.5,5.5,1.5,540.0,1.3,282.5,0.0492,0.0763,0.0186,sedang,0,0,0
gulai cincang,100.0,295.0,18.5,20.0,7.0,1.8,550.0,1.3,282.0,0.0627,0.0678,0.0237,sedang,1,0,0
gulai cubadak,100.0,175.0,4.5,10.5,16.5,3.5,420.0,3.5,178.5,0.0257,0.06,0.0943,sedang,0,0,0
gulai daging hiu,100.0,215.0,17.5,12.5,8.5,2.0,540.0,1.5,216.5,0.0814,0.0581,0.0395,sedang,1,0,0
gulai daun singkong,100.0,175.0,5.5,10.0,14.0,2.5,380.0,4.5,168.0,0.0314,0.0571,0.08,sedang,0,0,0
gulai ikan,100.0,215.0,17.0,12.5,7.5,2.0,560.0,1.3,210.5,0.0791,0.0581,0.0349,sedang,1,0,0
gulai ikan patin riau,100.0,195.0,17.5,11.5,5.5,1.5,540.0,1.0,195.5,0.0897,0.059,0.0282,sedang,1,0,0
gulai itek aceh,100.0,285.0,18.5,19.5,7.5,1.8,540.0,1.5,279.5,0.0649,0.0684,0.0263,sedang,1,0,0
gulai kambing,100.0,325.0,19.5,22.5,7.5,2.0,580.0,1.5,310.5,0.06,0.0692,0.0231,tinggi,1,0,0
gulai kepala ikan,100.0,215.0,16.5,12.0,8.0,2.0,560.0,1.5,206.0,0.0767,0.0558,0.0372,sedang,1,0,0
gulai nangka,100.0,185.0,4.5,10.5,18.5,4.0,420.0,3.5,186.5,0.0243,0.0568,0.1,sedang,0,0,0
gulai otak sapi,100.0,285.0,14.5,22.0,5.5,1.5,520.0,1.2,278.0,0.0509,0.0772,0.0193,sedang,0,0,0
gulai pakis,100.0,165.0,7.0,10.5,12.5,2.5,380.0,4.0,172.5,0.0424,0.0636,0.0758,sedang,0,0,0
gulai pisang muda,100.0,145.0,4.5,6.5,18.5,8.5,380.0,3.5,150.5,0.031,0.0448,0.1276,sedang,0,0,0
gulai siput,100.0,185.0,12.5,11.5,6.5,1.5,520.0,1.5,179.5,0.0676,0.0622,0.0351,sedang,0,0,0
gulai taboh lampung,100.0,195.0,7.5,12.5,13.5,2.5,480.0,3.0,196.5,0.0385,0.0641,0.0692,sedang,0,0,0
gulai tepek ikan,100.0,195.0,14.5,9.5,8.5,2.0,540.0,1.5,177.5,0.0744,0.0487,0.0436,sedang,0,0,0
gulai tunjang,100.0,245.0,15.5,16.5,7.5,1.8,520.0,1.2,240.5,0.0633,0.0673,0.0306,sedang,1,0,0
gurita,100.0,82.0,14.9,1.0,2.2,0.0,230.0,0.0,77.4,0.1817,0.0122,0.0268,rendah,0,0,0
hakau udang,100.0,215.0,13.5,6.5,22.5,2.5,580.0,1.0,202.5,0.0628,0.0302,0.1047,sedang,0,0,0
hati ayam,100.0,119.0,16.9,4.8,0.7,0.0,71.0,0.0,113.6,0.142,0.0403,0.0059,sedang,1,0,0
hati ayam (organ daging),100.0,119.0,16.9,4.8,0.7,0.0,71.0,0.0,113.6,0.142,0.0403,0.0059,sedang,1,0,0
hati kambing,100.0,125.0,20.5,3.9,1.9,0.0,68.0,0.0,124.7,0.164,0.0312,0.0152,sedang,1,0,0
hati sapi,100.0,135.0,20.5,3.6,3.9,0.0,69.0,0.0,130.0,0.1519,0.0267,0.0289,sedang,1,0,0
hot dog,100.0,245.0,11.5,11.5,22.5,4.5,720.0,1.0,239.5,0.0469,0.0469,0.0918,sedang,0,0,1
iga sapi,100.0,290.0,21.5,22.5,0.0,0.0,72.0,0.0,288.5,0.0741,0.0776,0.0,sedang,1,0,0
ikan arsik,100.0,185.0,20.5,9.5,6.5,1.5,520.0,1.5,193.5,0.1108,0.0514,0.0351,sedang,1,0,0
ikan asam padeh,100.0,145.0,17.5,5.5,7.5,2.5,580.0,1.5,149.5,0.1207,0.0379,0.0517,sedang,1,0,0
ikan asap maluku,100.0,215.0,24.5,11.5,4.5,0.5,580.0,0.5,219.5,0.114,0.0535,0.0209,sedang,1,0,0
ikan asap salai,100.0,245.0,28.5,12.5,0.0,0.0,1450.0,0.0,226.5,0.1163,0.051,0.0,sedang,1,0,1
ikan asar manado,100.0,245.0,28.5,12.5,0.0,0.0,1450.0,0.0,226.5,0.1163,0.051,0.0,sedang,1,0,1
ikan asin balado,100.0,285.0,28.5,14.5,8.5,2.5,1820.0,1.0,278.5,0.1,0.0509,0.0298,sedang,1,0,1
ikan asin etong,100.0,235.0,27.0,10.5,0.0,0.0,1680.0,0.0,202.5,0.1149,0.0447,0.0,sedang,1,0,1
ikan asin gabus kering,100.0,245.0,28.5,12.5,0.0,0.0,1820.0,0.0,226.5,0.1163,0.051,0.0,sedang,1,0,1
ikan asin gambolo,100.0,215.0,26.5,9.5,0.0,0.0,1620.0,0.0,191.5,0.1233,0.0442,0.0,sedang,1,0,1
ikan asin jambal kering,100.0,235.0,27.5,11.5,0.0,0.0,1750.0,0.0,213.5,0.117,0.0489,0.0,sedang,1,0,1
ikan asin jambal roti,100.0,245.0,28.5,12.5,4.5,0.5,1820.0,0.5,244.5,0.1163,0.051,0.0184,sedang,1,0,1
ikan asin kapas-kapas,100.0,235.0,27.0,10.5,0.0,0.0,1680.0,0.0,202.5,0.1149,0.0447,0.0,sedang,1,0,1
ikan asin layang,100.0,235.0,27.0,10.5,0.0,0.0,1680.0,0.0,202.5,0.1149,0.0447,0.0,sedang,1,0,1
ikan asin layur,100.0,245.0,27.5,11.5,0.0,0.0,1750.0,0.0,213.5,0.1122,0.0469,0.0,sedang,1,0,1
ikan asin manyung,100.0,245.0,27.5,11.5,0.0,0.0,1750.0,0.0,213.5,0.1122,0.0469,0.0,sedang,1,0,1
ikan asin pari kering,100.0,215.0,25.5,9.5,0.0,0.0,1620.0,0.0,187.5,0.1186,0.0442,0.0,sedang,1,0,1
ikan asin peda,100.0,215.0,25.5,9.5,4.5,0.5,1620.0,0.5,205.5,0.1186,0.0442,0.0209,sedang,1,0,1
ikan asin selar,100.0,165.0,26.5,9.5,0.0,0.0,1620.0,0.0,191.5,0.1606,0.0576,0.0,sedang,1,0,1
ikan asin sepat kering,100.0,225.0,26.5,10.5,0.0,0.0,1680.0,0.0,200.5,0.1178,0.0467,0.0,sedang,1,0,1
ikan asin tongkol,100.0,285.0,28.5,14.5,0.0,0.0,1820.0,0.0,244.5,0.1,0.0509,0.0,sedang,1,0,1
ikan bakar,100.0,175.0,24.5,8.5,2.5,0.5,420.0,0.3,184.5,0.14,0.0486,0.0143,sedang,1,0,0
ikan bakar madura,100.0,195.0,24.5,8.5,4.5,1.0,510.0,0.5,192.5,0.1256,0.0436,0.0231,sedang,1,0,0
ikan bakar manokwari,100.0,195.0,24.5,9.5,4.5,0.5,480.0,0.5,201.5,0.1256,0.0487,0.0231,sedang,1,0,0
ikan bakar minahasa,100.0,195.0,24.5,9.5,4.5,0.5,480.0,0.5,201.5,0.1256,0.0487,0.0231,sedang,1,0,0
ikan bakar sambal lampung,100.0,215.0,24.5,10.5,6.5,2.0,580.0,1.5,218.5,0.114,0.0488,0.0302,sedang,1,0,0
ikan bandeng,100.0,142.0,20.5,6.2,0.0,0.0,95.0,0.0,137.8,0.1444,0.0437,0.0,sedang,1,0,0
ikan bandeng bakar,100.0,195.0,22.5,9.5,4.5,0.5,480.0,0.5,193.5,0.1154,0.0487,0.0231,sedang,1,0,0
ikan bandeng goreng,100.0,245.0,22.5,14.5,4.5,0.5,480.0,0.5,238.5,0.0918,0.0592,0.0184,sedang,1,0,0
ikan bandeng presto,100.0,195.0,22.5,9.5,4.5,0.5,1850.0,0.5,193.5,0.1154,0.0487,0.0231,sedang,1,0,1
ikan barakuda,100.0,118.0,22.5,2.8,0.0,0.0,85.0,0.0,115.2,0.1907,0.0237,0.0,sedang,1,0,0
ikan barbir,100.0,88.0,18.0,1.2,0.0,0.0,50.0,0.0,82.8,0.2045,0.0136,0.0,rendah,1,0,0
ikan baronang,100.0,102.0,20.5,1.8,0.0,0.0,88.0,0.0,98.2,0.201,0.0176,0.0,sedang,1,0,0
ikan baung,100.0,115.0,20.0,3.5,0.0,0.0,68.0,0.0,111.5,0.1739,0.0304,0.0,sedang,1,0,0
ikan baung asam pedas,100.0,145.0,17.5,5.5,7.5,2.5,580.0,1.5,149.5,0.1207,0.0379,0.0517,sedang,1,0,0
ikan bawal,100.0,128.0,19.5,5.5,0.0,0.0,75.0,0.0,127.5,0.1523,0.043,0.0,sedang,1,0,0
ikan belut,100.0,236.0,18.5,18.5,0.0,0.0,72.0,0.0,240.5,0.0784,0.0784,0.0,sedang,1,0,0
ikan beraja,100.0,92.0,18.5,1.5,0.0,0.0,55.0,0.0,87.5,0.2011,0.0163,0.0,rendah,1,0,0
ikan betutu,100.0,98.0,19.0,2.0,0.0,0.0,58.0,0.0,94.0,0.1939,0.0204,0.0,rendah,1,0,0
ikan biawan,100.0,92.0,18.5,1.4,0.0,0.0,52.0,0.0,86.6,0.2011,0.0152,0.0,rendah,1,0,0
ikan biji nangka,100.0,102.0,20.0,2.0,0.0,0.0,65.0,0.0,98.0,0.1961,0.0196,0.0,sedang,1,0,0
ikan bilih,100.0,145.0,22.5,5.5,0.0,0.0,580.0,0.0,139.5,0.1552,0.0379,0.0,sedang,1,0,0
ikan bilis,100.0,125.0,23.5,3.2,0.0,0.0,480.0,0.0,122.8,0.188,0.0256,0.0,sedang,1,0,0
ikan bumbu acar kuning,100.0,175.0,18.5,9.5,8.5,3.5,480.0,1.5,193.5,0.1057,0.0543,0.0486,sedang,1,0,0
ikan butana,100.0,105.0,21.0,1.8,0.0,0.0,78.0,0.0,100.2,0.2,0.0171,0.0,sedang,1,0,0
ikan cakalang,100.0,118.0,25.5,1.5,0.0,0.0,105.0,0.0,115.5,0.2161,0.0127,0.0,sedang,1,0,0
ikan ekor kuning,100.0,122.0,22.5,3.2,0.0,0.0,92.0,0.0,118.8,0.1844,0.0262,0.0,sedang,1,0,0
ikan gabus,100.0,74.0,16.5,0.5,0.0,0.0,55.0,0.0,70.5,0.223,0.0068,0.0,rendah,1,0,0
ikan glodok,100.0,88.0,18.0,1.3,0.0,0.0,52.0,0.0,83.7,0.2045,0.0148,0.0,rendah,1,0,0
ikan goreng,100.0,245.0,25.0,15.5,4.5,0.5,480.0,0.4,257.5,0.102,0.0633,0.0184,sedang,1,0,0
ikan gulamah,100.0,95.0,19.5,1.5,0.0,0.0,65.0,0.0,91.5,0.2053,0.0158,0.0,rendah,1,0,0
ikan gurame,100.0,112.0,19.5,3.5,0.0,0.0,68.0,0.0,109.5,0.1741,0.0312,0.0,sedang,1,0,0
ikan gurame asam manis,100.0,245.0,19.5,12.5,18.5,12.5,580.0,1.0,264.5,0.0796,0.051,0.0755,sedang,1,0,0
ikan gurame bakar,100.0,195.0,22.5,9.5,4.5,0.5,480.0,0.5,193.5,0.1154,0.0487,0.0231,sedang,1,0,0
ikan haruan,100.0,75.0,16.5,0.6,0.0,0.0,56.0,0.0,71.4,0.22,0.008,0.0,rendah,1,0,0
ikan hiu,100.0,130.0,21.0,4.5,0.0,0.0,79.0,0.0,124.5,0.1615,0.0346,0.0,sedang,1,0,0
ikan jambal,100.0,108.0,18.5,3.5,0.0,0.0,65.0,0.0,105.5,0.1713,0.0324,0.0,sedang,1,0,0
ikan jelawat,100.0,115.0,19.5,3.8,0.0,0.0,68.0,0.0,112.2,0.1696,0.033,0.0,sedang,1,0,0
ikan kakap asam manis,100.0,245.0,22.5,12.5,18.5,12.5,580.0,1.0,276.5,0.0918,0.051,0.0755,sedang,1,0,0
ikan kakap hitam,100.0,108.0,22.5,1.7,0.0,0.0,78.0,0.0,105.3,0.2083,0.0157,0.0,sedang,1,0,0
ikan kakap mata besar,100.0,110.0,22.5,1.7,0.0,0.0,82.0,0.0,105.3,0.2045,0.0155,0.0,sedang,1,0,0
ikan kakap merah,100.0,110.0,22.5,1.7,0.0,0.0,82.0,0.0,105.3,0.2045,0.0155,0.0,sedang,1,0,0
ikan kakap putih,100.0,105.0,22.0,1.5,0.0,0.0,75.0,0.0,101.5,0.2095,0.0143,0.0,sedang,1,0,0
ikan kakap saus padang,100.0,245.0,22.5,12.5,12.5,5.5,720.0,1.5,252.5,0.0918,0.051,0.051,sedang,1,0,1
ikan kakatua,100.0,110.0,21.5,2.0,0.0,0.0,80.0,0.0,104.0,0.1955,0.0182,0.0,sedang,1,0,0
ikan kalui,100.0,102.0,19.0,2.5,0.0,0.0,60.0,0.0,98.5,0.1863,0.0245,0.0,sedang,1,0,0
ikan kapas-kapas,100.0,92.0,18.5,1.5,0.0,0.0,55.0,0.0,87.5,0.2011,0.0163,0.0,rendah,1,0,0
ikan kayu fufu,100.0,285.0,28.5,14.5,0.0,0.0,1450.0,0.0,244.5,0.1,0.0509,0.0,sedang,1,0,1
ikan kembung,100.0,112.0,21.0,2.5,0.0,0.0,120.0,0.0,106.5,0.1875,0.0223,0.0,sedang,1,0,0
ikan kembung banjar,100.0,115.0,22.0,2.8,0.0,0.0,125.0,0.0,113.2,0.1913,0.0243,0.0,sedang,1,0,0
ikan kembung lelaki,100.0,115.0,22.0,2.8,0.0,0.0,125.0,0.0,113.2,0.1913,0.0243,0.0,sedang,1,0,0
ikan kembung perempuan,100.0,112.0,21.0,2.5,0.0,0.0,120.0,0.0,106.5,0.1875,0.0223,0.0,sedang,1,0,0
ikan keperas,100.0,92.0,18.5,1.5,0.0,0.0,55.0,0.0,87.5,0.2011,0.0163,0.0,rendah,1,0,0
ikan kerapu,100.0,105.0,21.5,1.5,0.0,0.0,78.0,0.0,99.5,0.2048,0.0143,0.0,sedang,1,0,0
ikan kerapu bebek,100.0,105.0,21.5,1.5,0.0,0.0,78.0,0.0,99.5,0.2048,0.0143,0.0,sedang,1,0,0
ikan kerapu cantang,100.0,105.0,21.5,1.5,0.0,0.0,78.0,0.0,99.5,0.2048,0.0143,0.0,sedang,1,0,0
ikan kerapu hitam,100.0,102.0,21.0,1.4,0.0,0.0,75.0,0.0,96.6,0.2059,0.0137,0.0,sedang,1,0,0
ikan kerapu lumpur,100.0,105.0,21.5,1.5,0.0,0.0,78.0,0.0,99.5,0.2048,0.0143,0.0,sedang,1,0,0
ikan kerapu macan,100.0,105.0,21.5,1.5,0.0,0.0,78.0,0.0,99.5,0.2048,0.0143,0.0,sedang,1,0,0
ikan kerapu saus tiram,100.0,195.0,22.5,8.5,8.5,5.5,1450.0,1.0,200.5,0.1154,0.0436,0.0436,sedang,1,0,1
ikan kerapu steam,100.0,145.0,22.5,5.5,4.5,0.5,480.0,0.5,157.5,0.1552,0.0379,0.031,sedang,1,0,0
ikan kerapu sunu,100.0,105.0,21.5,1.5,0.0,0.0,78.0,0.0,99.5,0.2048,0.0143,0.0,sedang,1,0,0
ikan kibung,100.0,92.0,18.5,1.4,0.0,0.0,55.0,0.0,86.6,0.2011,0.0152,0.0,rendah,1,0,0
ikan kuah asam manado,100.0,145.0,17.5,5.5,7.5,2.0,540.0,1.5,149.5,0.1207,0.0379,0.0517,sedang,1,0,0
ikan kuah kuning,100.0,175.0,19.5,9.5,6.0,1.5,480.0,1.4,187.5,0.1114,0.0543,0.0343,sedang,1,0,0
ikan kuah kuning papua,100.0,175.0,19.5,9.5,6.0,1.5,480.0,1.4,187.5,0.1114,0.0543,0.0343,sedang,1,0,0
ikan kuah pala maluku,100.0,165.0,17.5,6.5,7.5,1.5,520.0,1.5,158.5,0.1061,0.0394,0.0455,sedang,1,0,0
ikan kuro,100.0,110.0,21.5,2.5,0.0,0.0,85.0,0.0,108.5,0.1955,0.0227,0.0,sedang,1,0,0
ikan kutuk,100.0,74.0,16.5,0.5,0.0,0.0,55.0,0.0,70.5,0.223,0.0068,0.0,rendah,1,0,0
ikan kuwe,100.0,118.0,22.0,2.8,0.0,0.0,85.0,0.0,113.2,0.1864,0.0237,0.0,sedang,1,0,0
ikan kuwe hitam,100.0,120.0,22.5,3.0,0.0,0.0,88.0,0.0,117.0,0.1875,0.025,0.0,sedang,1,0,0
ikan kuwe putih,100.0,118.0,22.0,2.8,0.0,0.0,85.0,0.0,113.2,0.1864,0.0237,0.0,sedang,1,0,0
ikan lais,100.0,105.0,18.0,3.0,0.0,0.0,62.0,0.0,99.0,0.1714,0.0286,0.0,sedang,1,0,0
ikan layang,100.0,115.0,23.0,2.2,0.0,0.0,95.0,0.0,111.8,0.2,0.0191,0.0,sedang,1,0,0
ikan layang biru,100.0,115.0,23.0,2.2,0.0,0.0,95.0,0.0,111.8,0.2,0.0191,0.0,sedang,1,0,0
ikan layang deles,100.0,115.0,23.0,2.2,0.0,0.0,95.0,0.0,111.8,0.2,0.0191,0.0,sedang,1,0,0
ikan layur,100.0,115.0,22.0,2.5,0.0,0.0,92.0,0.0,110.5,0.1913,0.0217,0.0,sedang,1,0,0
ikan lele,100.0,105.0,18.5,2.8,0.0,0.0,72.0,0.0,99.2,0.1762,0.0267,0.0,sedang,1,0,0
ikan lele bakar,100.0,195.0,22.5,9.5,4.5,0.5,480.0,0.5,193.5,0.1154,0.0487,0.0231,sedang,1,0,0
ikan lele goreng,100.0,245.0,22.5,14.5,4.5,0.5,480.0,0.5,238.5,0.0918,0.0592,0.0184,sedang,1,0,0
ikan lemang,100.0,102.0,19.5,2.5,0.0,0.0,65.0,0.0,100.5,0.1912,0.0245,0.0,sedang,1,0,0
ikan lemuru,100.0,125.0,22.5,3.5,0.0,0.0,95.0,0.0,121.5,0.18,0.028,0.0,sedang,1,0,0
ikan makarel,100.0,205.0,18.5,13.8,0.0,0.0,290.0,0.0,198.2,0.0902,0.0673,0.0,sedang,1,0,0
ikan mas,100.0,127.0,17.8,5.2,0.0,0.0,75.0,0.0,118.0,0.1402,0.0409,0.0,sedang,1,0,0
ikan mas natinombur,100.0,165.0,17.5,7.5,6.5,1.5,540.0,1.5,163.5,0.1061,0.0455,0.0394,sedang,1,0,0
ikan medang,100.0,95.0,19.5,1.5,0.0,0.0,60.0,0.0,91.5,0.2053,0.0158,0.0,rendah,1,0,0
ikan motan,100.0,88.0,17.5,1.5,0.0,0.0,52.0,0.0,83.5,0.1989,0.017,0.0,rendah,1,0,0
ikan mujair,100.0,89.0,18.5,1.2,0.0,0.0,55.0,0.0,84.8,0.2079,0.0135,0.0,rendah,1,0,0
ikan nila,100.0,96.0,20.0,1.7,0.0,0.0,52.0,0.0,95.3,0.2083,0.0177,0.0,rendah,1,0,0
ikan nila bakar,100.0,165.0,22.0,8.5,4.5,0.5,480.0,0.5,182.5,0.1333,0.0515,0.0273,sedang,1,0,0
ikan nila goreng,100.0,245.0,22.0,14.5,4.5,0.5,480.0,0.5,236.5,0.0898,0.0592,0.0184,sedang,1,0,0
ikan nilem,100.0,98.0,18.5,2.1,0.0,0.0,58.0,0.0,92.9,0.1888,0.0214,0.0,rendah,1,0,0
ikan opudi,100.0,88.0,18.5,1.3,0.0,0.0,52.0,0.0,85.7,0.2102,0.0148,0.0,rendah,1,0,0
ikan pallumara makassar,100.0,165.0,18.5,8.5,5.5,1.5,460.0,1.4,172.5,0.1121,0.0515,0.0333,sedang,1,0,0
ikan papar,100.0,95.0,19.0,1.5,0.0,0.0,58.0,0.0,89.5,0.2,0.0158,0.0,rendah,1,0,0
ikan papuyu betok,100.0,120.0,14.3,4.9,0.0,0.0,75.0,0.0,101.3,0.1192,0.0408,0.0,sedang,0,0,0
ikan parai mahseer,100.0,115.0,19.5,3.5,0.0,0.0,68.0,0.0,109.5,0.1696,0.0304,0.0,sedang,1,0,0
ikan parang,100.0,105.0,19.5,2.5,0.0,0.0,65.0,0.0,100.5,0.1857,0.0238,0.0,sedang,1,0,0
ikan parang-parang,100.0,130.0,22.0,4.5,0.0,0.0,95.0,0.0,128.5,0.1692,0.0346,0.0,sedang,1,0,0
ikan pari,100.0,95.0,20.5,1.2,0.0,0.0,145.0,0.0,92.8,0.2158,0.0126,0.0,rendah,1,0,0
ikan patin,100.0,132.0,17.0,6.8,0.0,0.0,58.0,0.0,129.2,0.1288,0.0515,0.0,sedang,1,0,0
ikan patin goreng,100.0,245.0,19.5,14.5,4.5,0.5,480.0,0.5,226.5,0.0796,0.0592,0.0184,sedang,1,0,0
ikan sarden,100.0,208.0,24.5,11.5,0.0,0.0,305.0,0.0,201.5,0.1178,0.0553,0.0,sedang,1,0,0
ikan sarinai padang,100.0,195.0,17.5,9.5,7.5,1.5,540.0,1.5,185.5,0.0897,0.0487,0.0385,sedang,1,0,0
ikan selar,100.0,122.0,22.5,3.2,0.0,0.0,92.0,0.0,118.8,0.1844,0.0262,0.0,sedang,1,0,0
ikan sepat,100.0,85.0,17.5,1.2,0.0,0.0,48.0,0.0,80.8,0.2059,0.0141,0.0,rendah,1,0,0
ikan sidat,100.0,265.0,20.5,21.5,0.0,0.0,82.0,0.0,275.5,0.0774,0.0811,0.0,sedang,1,0,0
ikan tambakan,100.0,92.0,19.5,1.5,0.0,0.0,55.0,0.0,91.5,0.212,0.0163,0.0,rendah,1,0,0
ikan tambakang,100.0,92.0,19.5,1.5,0.0,0.0,55.0,0.0,91.5,0.212,0.0163,0.0,rendah,1,0,0
ikan tapah,100.0,105.0,19.5,2.5,0.0,0.0,65.0,0.0,100.5,0.1857,0.0238,0.0,sedang,1,0,0
ikan tawes,100.0,102.0,19.0,2.3,0.0,0.0,62.0,0.0,96.7,0.1863,0.0225,0.0,sedang,1,0,0
ikan tenggiri,100.0,109.0,22.5,2.0,0.0,0.0,88.0,0.0,108.0,0.2064,0.0183,0.0,sedang,1,0,0
ikan tenggiri batang,100.0,109.0,22.5,2.0,0.0,0.0,88.0,0.0,108.0,0.2064,0.0183,0.0,sedang,1,0,0
ikan tenggiri papan,100.0,109.0,22.5,2.0,0.0,0.0,88.0,0.0,108.0,0.2064,0.0183,0.0,sedang,1,0,0
ikan teri,100.0,135.0,25.5,3.5,0.0,0.0,620.0,0.0,133.5,0.1889,0.0259,0.0,sedang,1,0,1
ikan teri balado,100.0,245.0,22.5,12.5,9.5,2.5,1450.0,1.5,240.5,0.0918,0.051,0.0388,sedang,1,0,1
ikan teri bumbu kacang,100.0,295.0,22.5,16.5,14.5,3.5,1450.0,4.5,296.5,0.0763,0.0559,0.0492,sedang,1,0,1
ikan terubuk,100.0,122.0,21.5,3.5,0.0,0.0,88.0,0.0,117.5,0.1762,0.0287,0.0,sedang,1,0,0
ikan tilan,100.0,102.0,18.5,2.5,0.0,0.0,60.0,0.0,96.5,0.1814,0.0245,0.0,sedang,1,0,0
ikan toman,100.0,96.0,19.5,1.5,0.0,0.0,55.0,0.0,91.5,0.2031,0.0156,0.0,rendah,1,0,0
ikan tomang,100.0,96.0,19.5,1.5,0.0,0.0,55.0,0.0,91.5,0.2031,0.0156,0.0,rendah,1,0,0
ikan tongkol,100.0,144.0,27.5,2.5,0.0,0.0,135.0,0.0,132.5,0.191,0.0174,0.0,sedang,1,0,0
ikan tongkol abu-abu,100.0,145.0,27.5,2.5,0.0,0.0,138.0,0.0,132.5,0.1897,0.0172,0.0,sedang,1,0,0
ikan tongkol balado,100.0,245.0,22.5,13.5,8.5,2.0,520.0,1.5,245.5,0.0918,0.0551,0.0347,sedang,1,0,0
ikan tongkol bumbu kuning,100.0,195.0,22.5,9.5,7.5,1.5,540.0,1.5,205.5,0.1154,0.0487,0.0385,sedang,1,0,0
ikan tongkol komo,100.0,142.0,27.0,2.4,0.0,0.0,135.0,0.0,129.6,0.1901,0.0169,0.0,sedang,1,0,0
